id,created_at,created_phase,created_batch,rating_bundle,completion_code
299,"2015-12-29 11:54:31",2,8,0,hBJEzj4g
301,"2015-12-29 12:03:30",2,8,0,cECtLtNJ
302,"2015-12-29 12:21:07",2,8,0,G0ageAQ8
304,"2015-12-29 12:33:59",2,8,0,ChRDEpw9
306,"2015-12-29 12:47:34",2,8,0,iH6zpXyq
308,"2015-12-29 13:07:41",2,8,0,jhH89XtQ
309,"2015-12-29 13:08:52",2,8,0,O5MihsqM
311,"2015-12-29 14:25:58",2,8,0,jVp9w5VJ
312,"2015-12-29 14:42:13",2,8,0,oKfYbH0p
313,"2015-12-29 15:34:16",2,8,0,C1JIO4TX
316,"2015-12-29 16:09:31",2,8,0,RTxC3lbl
320,"2015-12-29 17:13:28",3,9,0,q3XnojB9
322,"2015-12-29 17:14:20",3,9,0,4zrUkC0b
325,"2015-12-29 17:14:45",3,9,0,w2Xaz3Eg
326,"2015-12-29 17:14:47",3,9,0,qb5UD3JT
327,"2015-12-29 17:14:49",3,9,0,9Aj6M59g
331,"2015-12-29 17:17:19",3,9,0,3iWMTpuR
334,"2015-12-29 17:27:15",3,9,0,qY7I2RLn
335,"2015-12-29 17:30:52",3,9,0,myM2XJZD
337,"2015-12-29 17:41:05",3,9,0,27eqcxlP
338,"2015-12-29 17:41:41",3,9,0,TsTm33RG
341,"2015-12-29 17:59:22",3,9,0,b4nyf0Yb
342,"2015-12-29 18:04:05",3,9,0,TrzJkrX9
344,"2015-12-29 18:12:09",3,9,0,1FSI6uY3
345,"2015-12-29 18:12:15",3,9,0,LHID7hyf
346,"2015-12-29 18:22:52",3,9,0,HREibT0F
348,"2015-12-29 18:45:57",3,9,0,BOlzFpOE
349,"2015-12-29 18:45:59",3,9,0,Ph1i2AHC
350,"2015-12-29 18:49:16",3,9,0,5Ky3f9TZ
353,"2015-12-29 19:59:52",3,9,0,NFoquaF9
356,"2015-12-29 21:02:06",3,9,0,ZomVa9LH
359,"2015-12-29 21:31:04",3,10,0,ca6nKfEd
363,"2015-12-29 21:31:26",3,10,0,mKlsnxh8
364,"2015-12-29 21:32:21",3,10,0,qUXhGFco
365,"2015-12-29 21:32:31",3,10,0,jeDwVNDk
366,"2015-12-29 21:32:48",3,10,0,mk0WBmEi
368,"2015-12-29 21:34:50",3,10,0,ARIawyt9
369,"2015-12-29 21:41:33",3,10,0,9YLYgind
370,"2015-12-29 21:42:04",3,10,0,lRNjgtfg
372,"2015-12-29 21:46:39",3,10,0,BPJNATqR
373,"2015-12-29 21:47:26",3,10,0,LMPrfVSK
374,"2015-12-29 21:48:05",3,10,0,AJR9U3tn
375,"2015-12-29 22:39:52",3,10,0,XT0FUpXf
379,"2015-12-29 23:01:11",3,10,0,8HIh8OMg
380,"2015-12-29 23:07:27",3,10,0,ployEy8c
381,"2015-12-29 23:14:23",3,10,0,ZuPdxYBB
383,"2015-12-30 00:07:19",3,10,0,ro9lWJeH
384,"2015-12-30 00:33:07",3,10,0,g707vhZs
386,"2015-12-30 01:19:25",3,10,0,JFgqqqVp
389,"2015-12-30 02:04:46",3,10,0,CdwT3T4j
390,"2015-12-30 03:28:37",3,10,0,v901F46d
391,"2015-12-30 08:43:51",3,11,0,SyMHCX4Z
392,"2015-12-30 08:43:57",3,11,0,vsTPPWQf
393,"2015-12-30 08:44:06",3,11,0,bB7jCH2J
394,"2015-12-30 08:44:18",3,11,0,mqECAtpg
395,"2015-12-30 08:44:22",3,11,0,T1YBqFNL
397,"2015-12-30 08:45:25",3,11,0,Zvvd7njV
398,"2015-12-30 08:45:59",3,11,0,BxZ8MHeX
399,"2015-12-30 08:47:51",3,11,0,GqaYjiHa
400,"2015-12-30 08:47:57",3,11,0,oKCeWaDu
401,"2015-12-30 08:49:04",3,11,0,1TMQIdXs
402,"2015-12-30 08:51:09",3,11,0,UO1UJoMj
404,"2015-12-30 09:01:02",3,11,0,d04fN2hm
405,"2015-12-30 09:19:40",3,11,0,wBBCnMUu
406,"2015-12-30 09:25:55",3,11,0,XFMUiGV7
411,"2015-12-30 10:01:52",3,11,0,cWTN3Mpc
413,"2015-12-30 10:54:44",3,11,0,kgH99bzO
414,"2015-12-30 11:08:46",3,11,0,6uUoVz8b
415,"2015-12-30 11:10:47",3,11,0,ghUSml7z
417,"2015-12-30 11:30:03",3,11,0,CvhindGD
419,"2015-12-30 12:03:16",3,11,0,aBO0JvNC
420,"2015-12-30 13:00:22",3,11,0,kXh7iAeD
423,"2015-12-30 13:53:33",3,12,0,v5HjLtZ8
424,"2015-12-30 13:53:38",3,12,0,NqDlbXXQ
425,"2015-12-30 13:54:06",3,12,0,95UZBbA7
426,"2015-12-30 13:54:31",3,12,0,MIsf6eIH
427,"2015-12-30 13:54:47",3,12,0,Jio3RuFs
429,"2015-12-30 13:57:31",3,12,0,AE4ADylF
430,"2015-12-30 13:57:40",3,12,0,8nloTAwA
432,"2015-12-30 13:58:52",3,12,0,ZvyCLwDs
433,"2015-12-30 14:00:10",3,12,0,59b1k5Oe
434,"2015-12-30 14:00:29",3,12,0,CDxu0axX
435,"2015-12-30 14:01:55",3,12,0,qKfV50C9
436,"2015-12-30 14:03:01",3,12,0,Yrjl0kPf
438,"2015-12-30 14:07:55",3,12,0,baXZjt5R
439,"2015-12-30 14:19:47",3,12,0,LK5AQNPp
440,"2015-12-30 14:21:00",3,12,0,d1r88Dkw
441,"2015-12-30 14:26:09",3,12,0,AwTQjdUY
442,"2015-12-30 14:27:49",3,12,0,yF8DPcSt
445,"2015-12-30 15:24:14",3,12,0,Hu6Nlnzj
447,"2015-12-30 17:18:51",3,12,0,JHxJ25GO
448,"2015-12-30 17:29:47",3,12,0,OcLDuN8V
450,"2015-12-30 18:26:38",3,13,0,oKQCCYp9
451,"2015-12-30 18:26:40",3,13,0,263mIMzX
453,"2015-12-30 18:27:21",3,13,0,zSNoxFmn
454,"2015-12-30 18:27:26",2,NULL,0,uYgwProf
455,"2015-12-30 18:28:09",3,13,0,cQKEcUzp
456,"2015-12-30 18:29:04",3,13,0,NAXDcT9W
457,"2015-12-30 18:30:36",3,13,0,uX10Z4UX
458,"2015-12-30 18:31:07",3,13,0,8tY1CsfN
460,"2015-12-30 18:33:14",3,13,0,idN9PJLZ
461,"2015-12-30 18:39:52",3,13,0,as7OJAgD
463,"2015-12-30 18:43:17",3,13,0,wla8xfBg
